Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
129.00	2.0000	0.37559	2.6625	1109.0	1641.5	39.355	7.9225	12.078	901.39	0.065394	4.9583e-06	0.087437	vapor
130.00	2.0000	0.37269	2.6832	1117.0	1653.6	39.449	7.9504	12.106	904.33	0.063778	4.9857e-06	0.088098	vapor
131.00	2.0000	0.36984	2.7039	1125.0	1665.8	39.542	7.9782	12.133	907.26	0.062195	5.0130e-06	0.088760	vapor
132.00	2.0000	0.36703	2.7246	1133.0	1677.9	39.634	8.0059	12.160	910.18	0.060643	5.0402e-06	0.089423	vapor
133.00	2.0000	0.36426	2.7453	1141.0	1690.1	39.726	8.0333	12.187	913.08	0.059123	5.0674e-06	0.090086	vapor
134.00	2.0000	0.36154	2.7660	1149.1	1702.3	39.817	8.0606	12.214	915.98	0.057633	5.0944e-06	0.090749	vapor
135.00	2.0000	0.35885	2.7867	1157.2	1714.5	39.908	8.0877	12.241	918.87	0.056172	5.1215e-06	0.091412	vapor
136.00	2.0000	0.35621	2.8074	1165.3	1726.8	39.999	8.1147	12.267	921.74	0.054740	5.1484e-06	0.092076	vapor
137.00	2.0000	0.35360	2.8281	1173.4	1739.0	40.089	8.1414	12.293	924.61	0.053335	5.1752e-06	0.092740	vapor
138.00	2.0000	0.35103	2.8487	1181.6	1751.3	40.178	8.1680	12.319	927.47	0.051959	5.2020e-06	0.093404	vapor
139.00	2.0000	0.34850	2.8694	1189.8	1763.7	40.267	8.1943	12.345	930.31	0.050608	5.2287e-06	0.094068	vapor
140.00	2.0000	0.34601	2.8901	1198.0	1776.0	40.356	8.2205	12.371	933.15	0.049284	5.2554e-06	0.094732	vapor
141.00	2.0000	0.34355	2.9108	1206.3	1788.4	40.444	8.2465	12.397	935.98	0.047984	5.2820e-06	0.095396	vapor
