Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
327.5,30,2.1846,0.45775,2994.5,4367.8,40.728,10.285,14.452,1400.7,-0.035942,9.5142E-06,0.20278,supercritical
328.5,30,2.178,0.45913,3004.9,4382.3,40.772,10.287,14.454,1402.7,-0.036081,9.5341E-06,0.20323,supercritical
329.5,30,2.1715,0.46052,3015.2,4396.7,40.816,10.29,14.456,1404.7,-0.03622,0.000009554,0.20368,supercritical
330.5,30,2.165,0.4619,3025.5,4411.2,40.86,10.292,14.458,1406.8,-0.036357,9.5739E-06,0.20413,supercritical
331.5,30,2.1585,0.46328,3035.8,4425.6,40.904,10.294,14.459,1408.8,-0.036494,9.5937E-06,0.20458,supercritical
332.5,30,2.1521,0.46466,3046.1,4440.1,40.947,10.296,14.461,1410.8,-0.03663,9.6135E-06,0.20503,supercritical
333.5,30,2.1457,0.46604,3056.4,4454.6,40.991,10.298,14.462,1412.8,-0.036765,9.6333E-06,0.20548,supercritical
334.5,30,2.1394,0.46742,3066.7,4469,41.034,10.299,14.464,1414.8,-0.036898,9.6531E-06,0.20593,supercritical
335.5,30,2.1331,0.46881,3077.1,4483.5,41.077,10.301,14.465,1416.8,-0.037031,9.6729E-06,0.20637,supercritical
336.5,30,2.1268,0.47019,3087.4,4497.9,41.12,10.303,14.467,1418.8,-0.037164,9.6927E-06,0.20682,supercritical
337.5,30,2.1206,0.47157,3097.7,4512.4,41.163,10.305,14.468,1420.8,-0.037295,9.7124E-06,0.20726,supercritical
338.5,30,2.1144,0.47295,3108,4526.9,41.206,10.307,14.47,1422.8,-0.037425,9.7321E-06,0.20771,supercritical
339.5,30,2.1082,0.47433,3118.4,4541.4,41.249,10.309,14.471,1424.8,-0.037555,9.7518E-06,0.20815,supercritical
340.5,30,2.1021,0.47571,3128.7,4555.8,41.291,10.31,14.473,1426.8,-0.037684,9.7715E-06,0.20859,supercritical
341.5,30,2.096,0.47709,3139,4570.3,41.334,10.312,14.474,1428.8,-0.037811,9.7912E-06,0.20904,supercritical
342.5,30,2.09,0.47847,3149.4,4584.8,41.376,10.314,14.475,1430.8,-0.037939,9.8108E-06,0.20948,supercritical
343.5,30,2.084,0.47985,3159.7,4599.2,41.418,10.315,14.477,1432.8,-0.038065,9.8305E-06,0.20992,supercritical
344.5,30,2.078,0.48124,3170,4613.7,41.46,10.317,14.478,1434.8,-0.03819,9.8501E-06,0.21036,supercritical
345.5,30,2.072,0.48262,3180.4,4628.2,41.502,10.318,14.479,1436.8,-0.038315,9.8697E-06,0.2108,supercritical
346.5,30,2.0661,0.484,3190.7,4642.7,41.544,10.32,14.48,1438.8,-0.038438,9.8893E-06,0.21124,supercritical
347.5,30,2.0603,0.48538,3201,4657.2,41.586,10.322,14.482,1440.7,-0.038561,9.9089E-06,0.21168,supercritical
348.5,30,2.0544,0.48676,3211.4,4671.6,41.628,10.323,14.483,1442.7,-0.038684,9.9285E-06,0.21212,supercritical
349.5,30,2.0486,0.48814,3221.7,4686.1,41.669,10.324,14.484,1444.7,-0.038805,0.000009948,0.21255,supercritical
350.5,30,2.0428,0.48952,3232.1,4700.6,41.71,10.326,14.485,1446.7,-0.038926,9.9675E-06,0.21299,supercritical
351.5,30,2.0371,0.4909,3242.4,4715.1,41.752,10.327,14.486,1448.6,-0.039045,9.9871E-06,0.21343,supercritical
352.5,30,2.0314,0.49228,3252.7,4729.6,41.793,10.329,14.487,1450.6,-0.039165,0.000010007,0.21386,supercritical
353.5,30,2.0257,0.49366,3263.1,4744.1,41.834,10.33,14.488,1452.6,-0.039283,0.000010026,0.2143,supercritical
354.5,30,2.02,0.49504,3273.4,4758.6,41.875,10.331,14.489,1454.5,-0.039401,0.000010046,0.21473,supercritical
355.5,30,2.0144,0.49642,3283.8,4773.1,41.916,10.333,14.49,1456.5,-0.039517,0.000010065,0.21516,supercritical
356.5,30,2.0088,0.4978,3294.1,4787.5,41.956,10.334,14.491,1458.5,-0.039633,0.000010084,0.2156,supercritical
357.5,30,2.0033,0.49918,3304.5,4802,41.997,10.335,14.492,1460.4,-0.039749,0.000010104,0.21603,supercritical
358.5,30,1.9978,0.50056,3314.8,4816.5,42.037,10.337,14.493,1462.4,-0.039864,0.000010123,0.21646,supercritical
359.5,30,1.9923,0.50194,3325.2,4831,42.078,10.338,14.494,1464.3,-0.039977,0.000010143,0.21689,supercritical
360.5,30,1.9868,0.50332,3335.5,4845.5,42.118,10.339,14.495,1466.3,-0.040091,0.000010162,0.21733,supercritical
361.5,30,1.9814,0.5047,3345.9,4860,42.158,10.34,14.496,1468.2,-0.040203,0.000010181,0.21776,supercritical
362.5,30,1.976,0.50608,3356.3,4874.5,42.198,10.341,14.497,1470.2,-0.040315,0.000010201,0.21819,supercritical
363.5,30,1.9706,0.50746,3366.6,4889,42.238,10.342,14.498,1472.1,-0.040426,0.00001022,0.21862,supercritical
364.5,30,1.9652,0.50884,3377,4903.5,42.278,10.343,14.498,1474,-0.040537,0.000010239,0.21904,supercritical
365.5,30,1.9599,0.51022,3387.3,4918,42.318,10.345,14.499,1476,-0.040646,0.000010259,0.21947,supercritical
366.5,30,1.9546,0.5116,3397.7,4932.5,42.357,10.346,14.5,1477.9,-0.040756,0.000010278,0.2199,supercritical
367.5,30,1.9494,0.51298,3408.1,4947,42.397,10.347,14.501,1479.8,-0.040864,0.000010297,0.22033,supercritical
368.5,30,1.9442,0.51436,3418.4,4961.5,42.436,10.348,14.502,1481.8,-0.040972,0.000010316,0.22076,supercritical
369.5,30,1.939,0.51574,3428.8,4976,42.476,10.349,14.502,1483.7,-0.041079,0.000010336,0.22118,supercritical
370.5,30,1.9338,0.51712,3439.1,4990.5,42.515,10.35,14.503,1485.6,-0.041185,0.000010355,0.22161,supercritical
371.5,30,1.9286,0.5185,3449.5,5005,42.554,10.351,14.504,1487.5,-0.041291,0.000010374,0.22203,supercritical
372.5,30,1.9235,0.51988,3459.9,5019.5,42.593,10.352,14.505,1489.5,-0.041396,0.000010393,0.22246,supercritical
373.5,30,1.9184,0.52126,3470.2,5034,42.632,10.353,14.505,1491.4,-0.041501,0.000010413,0.22288,supercritical
374.5,30,1.9134,0.52264,3480.6,5048.5,42.671,10.353,14.506,1493.3,-0.041605,0.000010432,0.22331,supercritical
375.5,30,1.9083,0.52402,3491,5063,42.709,10.354,14.507,1495.2,-0.041708,0.000010451,0.22373,supercritical
376.5,30,1.9033,0.5254,3501.3,5077.5,42.748,10.355,14.507,1497.1,-0.041811,0.00001047,0.22415,supercritical
377.5,30,1.8983,0.52678,3511.7,5092,42.786,10.356,14.508,1499,-0.041913,0.000010489,0.22457,supercritical
378.5,30,1.8934,0.52816,3522.1,5106.6,42.825,10.357,14.508,1500.9,-0.042014,0.000010508,0.225,supercritical
379.5,30,1.8884,0.52954,3532.5,5121.1,42.863,10.358,14.509,1502.9,-0.042115,0.000010527,0.22542,supercritical
380.5,30,1.8835,0.53092,3542.8,5135.6,42.901,10.359,14.51,1504.8,-0.042215,0.000010546,0.22584,supercritical
381.5,30,1.8787,0.53229,3553.2,5150.1,42.939,10.359,14.51,1506.7,-0.042315,0.000010565,0.22626,supercritical
382.5,30,1.8738,0.53367,3563.6,5164.6,42.977,10.36,14.511,1508.6,-0.042414,0.000010585,0.22668,supercritical
383.5,30,1.869,0.53505,3573.9,5179.1,43.015,10.361,14.511,1510.5,-0.042512,0.000010604,0.2271,supercritical
384.5,30,1.8642,0.53643,3584.3,5193.6,43.053,10.362,14.512,1512.3,-0.04261,0.000010623,0.22752,supercritical
385.5,30,1.8594,0.53781,3594.7,5208.1,43.091,10.362,14.512,1514.2,-0.042707,0.000010642,0.22793,supercritical
386.5,30,1.8546,0.53919,3605.1,5222.6,43.128,10.363,14.513,1516.1,-0.042804,0.000010661,0.22835,supercritical
387.5,30,1.8499,0.54057,3615.4,5237.2,43.166,10.364,14.513,1518,-0.0429,0.00001068,0.22877,supercritical
388.5,30,1.8452,0.54195,3625.8,5251.7,43.203,10.365,14.514,1519.9,-0.042995,0.000010699,0.22919,supercritical
389.5,30,1.8405,0.54333,3636.2,5266.2,43.24,10.365,14.514,1521.8,-0.04309,0.000010718,0.2296,supercritical
390.5,30,1.8359,0.54471,3646.6,5280.7,43.278,10.366,14.515,1523.7,-0.043185,0.000010736,0.23002,supercritical
391.5,30,1.8312,0.54608,3657,5295.2,43.315,10.367,14.515,1525.5,-0.043279,0.000010755,0.23044,supercritical
392.5,30,1.8266,0.54746,3667.3,5309.7,43.352,10.367,14.516,1527.4,-0.043372,0.000010774,0.23085,supercritical
393.5,30,1.822,0.54884,3677.7,5324.2,43.389,10.368,14.516,1529.3,-0.043465,0.000010793,0.23127,supercritical
394.5,30,1.8175,0.55022,3688.1,5338.8,43.426,10.369,14.516,1531.2,-0.043557,0.000010812,0.23168,supercritical
395.5,30,1.8129,0.5516,3698.5,5353.3,43.462,10.369,14.517,1533,-0.043649,0.000010831,0.2321,supercritical
396.5,30,1.8084,0.55298,3708.9,5367.8,43.499,10.37,14.517,1534.9,-0.04374,0.00001085,0.23251,supercritical
397.5,30,1.8039,0.55436,3719.2,5382.3,43.536,10.37,14.518,1536.8,-0.043831,0.000010869,0.23292,supercritical
398.5,30,1.7994,0.55573,3729.6,5396.8,43.572,10.371,14.518,1538.6,-0.043921,0.000010888,0.23333,supercritical
399.5,30,1.795,0.55711,3740,5411.3,43.608,10.372,14.518,1540.5,-0.04401,0.000010906,0.23375,supercritical
400.5,30,1.7905,0.55849,3750.4,5425.9,43.645,10.372,14.519,1542.4,-0.044099,0.000010925,0.23416,supercritical
