Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
23.308	0.22000	67.173	0.014887	29.144	32.419	1.4052	5.8468	11.732	1026.9	-0.62061	1.0720e-05	0.10338	0.0014090	2.7142	0.36843	379.68	460.73	19.781	6.6147	13.700	370.03	15.611	1.1669e-06	0.021516
23.498	0.23000	66.911	0.014945	31.290	34.728	1.4974	5.8586	11.887	1020.3	-0.59668	1.0569e-05	0.10329	0.0013771	2.8301	0.35334	379.93	461.20	19.647	6.6288	13.848	370.71	15.458	1.1785e-06	0.021810
23.681	0.24000	66.654	0.015003	33.394	36.995	1.5872	5.8700	12.041	1013.7	-0.57309	1.0425e-05	0.10319	0.0013461	2.9461	0.33943	380.15	461.62	19.518	6.6429	13.998	371.34	15.311	1.1898e-06	0.022100
23.860	0.25000	66.401	0.015060	35.459	39.224	1.6746	5.8811	12.195	1007.3	-0.54979	1.0288e-05	0.10309	0.0013161	3.0623	0.32655	380.34	461.98	19.393	6.6571	14.149	371.93	15.170	1.2009e-06	0.022385
24.033	0.26000	66.151	0.015117	37.487	41.417	1.7599	5.8919	12.349	1001.0	-0.52675	1.0156e-05	0.10298	0.0012870	3.1786	0.31460	380.50	462.30	19.273	6.6712	14.303	372.48	15.035	1.2118e-06	0.022667
24.202	0.27000	65.906	0.015173	39.481	43.578	1.8432	5.9024	12.503	994.78	-0.50394	1.0030e-05	0.10287	0.0012587	3.2952	0.30347	380.64	462.57	19.156	6.6854	14.459	373.00	14.904	1.2225e-06	0.022945
24.366	0.28000	65.664	0.015229	41.444	45.708	1.9247	5.9126	12.657	988.64	-0.48133	9.9093e-06	0.10277	0.0012312	3.4120	0.29308	380.74	462.81	19.043	6.6996	14.617	373.49	14.778	1.2331e-06	0.023221
24.527	0.29000	65.425	0.015285	43.377	47.810	2.0044	5.9226	12.812	982.57	-0.45889	9.7929e-06	0.10267	0.0012045	3.5291	0.28336	380.82	463.00	18.933	6.7138	14.777	373.95	14.656	1.2434e-06	0.023494
24.683	0.30000	65.189	0.015340	45.282	49.884	2.0825	5.9323	12.968	976.58	-0.43660	9.6807e-06	0.10256	0.0011784	3.6464	0.27424	380.88	463.15	18.826	6.7280	14.940	374.38	14.538	1.2536e-06	0.023764
24.836	0.31000	64.955	0.015395	47.161	51.934	2.1591	5.9418	13.124	970.66	-0.41444	9.5725e-06	0.10246	0.0011530	3.7640	0.26567	380.92	463.28	18.722	6.7422	15.105	374.78	14.424	1.2637e-06	0.024032
24.985	0.32000	64.724	0.015450	49.016	53.960	2.2342	5.9512	13.282	964.80	-0.39239	9.4680e-06	0.10234	0.0011282	3.8820	0.25760	380.93	463.36	18.620	6.7564	15.272	375.16	14.313	1.2737e-06	0.024298
25.131	0.33000	64.496	0.015505	50.847	55.964	2.3080	5.9603	13.440	959.00	-0.37043	9.3668e-06	0.10223	0.0011040	4.0004	0.24998	380.93	463.42	18.521	6.7706	15.442	375.51	14.205	1.2835e-06	0.024562
25.275	0.34000	64.269	0.015559	52.657	57.947	2.3806	5.9693	13.600	953.26	-0.34854	9.2689e-06	0.10211	0.0010804	4.1191	0.24277	380.90	463.44	18.424	6.7849	15.615	375.85	14.100	1.2932e-06	0.024825
25.415	0.35000	64.045	0.015614	54.446	59.911	2.4519	5.9782	13.761	947.57	-0.32670	9.1739e-06	0.10198	0.0010573	4.2382	0.23595	380.86	463.44	18.330	6.7991	15.791	376.16	13.998	1.3028e-06	0.025086
25.552	0.36000	63.823	0.015668	56.216	61.857	2.5221	5.9869	13.923	941.93	-0.30491	9.0818e-06	0.10186	0.0010347	4.3577	0.22948	380.79	463.41	18.237	6.8134	15.970	376.46	13.898	1.3123e-06	0.025346
25.687	0.37000	63.602	0.015723	57.968	63.785	2.5913	5.9955	14.087	936.34	-0.28313	8.9922e-06	0.10173	0.0010125	4.4777	0.22333	380.71	463.35	18.146	6.8277	16.153	376.73	13.801	1.3218e-06	0.025605
